Equipo,Jugador,Lesion
Alavés,Sedlar,Rotura del ligamento cruzado con rotura parcial del menisco interno
Athletic,Desconocido,Desconocido
Atlético,Desconocido,Desconocido
Barcelona,De Jong,Esguince en el tobillo derecho
Barcelona,Gavi,Rotura completa del ligamento cruzado anterior de la rodilla derecha y lesión asociada al menisco externo
Barcelona,Balde,Lesión en el tendón del isquiotibial del muslo derecho
Betis,Bakambu,Operación del recto anterior
Celta,Carles Pérez,Lesión en el tobillo
Celta,Aidoo,Rotura del tendón de Aquiles izquierdo
Getafe,Mayoral,Rotura en el menisco
Getafe,Arambarri,Rotura parcial del menisco externo
Getafe,Domingos Duarte,Molestias en el hombro
Getafe,Juan Iglesias,Operación en el hombro
Girona,Joel Roca,Rotura de ligamentro cruzado y menisco
Las Palmas,Desconocido,Desconocido
Mallorca,Van Der Heyden,Molestias en la clavícula operada
Osasuna,Kike Barja,Lesión en el ligamento cruzado anterior
Rayo Vallecano,Desconocido,Desconocido
Real Madrid,David Alaba,Rotura del ligamento cruzado anterior de la rodilla izquierda
Real Sociedad,Aihen,Rotura de ligamento cruzado anterior
Real Sociedad,Merquelanz,Lesión osteocondral de la rodilla izquierda
Sevilla,Suso,Sobrecarga muscular
Sevilla,Isaac Romero,Lesión miotendinosa en los isquiotibiales del muslo derecho
Sevilla,Acuña,Lesión sin determinar
Sevilla,Óliver Torres,Artroscopia en el hombro
Sevilla,Erik Lamela,Esguince leve del ligamento lateral interno de su rodilla derecha
Sevilla,Sow,Fractura en el quinto metatarsiano del pie izquierdo
Valencia,Jesús Vázquez,Lesión del músculo aductor largo derecho
Valencia,Jaume Doménech,Lesión en el tendón del recto femoral del cuádriceps de la pierna derecha
Valencia,Gayà,Lesión del músculo recto femoral del cuádriceps de la pierna izquierda
Valencia,Diakhaby,Dislocación de rodilla
Villarreal,Foyth,Operación del hombro
Villarreal,Denis Suárez,Rotura muscular con afectación del recto femoral de la pierna izquierda.
